id,folder,title,author,dominant_motif,dominant_score,x,y,description
1,01. Аз искам да те помня все така,Аз искам да те помня все така...,Димчо Дебелянов,Любов,0.5732,-45.67,-166.66,"""Аз искам да те помня все така..."" е лирическа елегия за раздялата и за опита любовта да бъде запазена в паметта. Лирическият говорител се обръща към любимата с нежност и тъга, като иска да я съхрани такава, каквато е в последния болезнен миг. В текста личат типичните за Дебелянов скръб, меланхолия и усещане за отминалост. Образите на града, нощта, мрака и разлъката подсилват интимната и печална атмосфера. Произведението е сред най-разпознаваемите любовни стихотворения в българската лирика."
2,02. Колко си хубава,Колко си хубава,Христо Фотев,Любов,0.7097,-2.5,-187.89,"""Колко си хубава"" е едно от най-разпознаваемите любовни стихотворения на Христо Фотев. В него възхищението към любимата е изразено с характерната за поета емоционалност, музикалност и изповедност. Лирическият говорител не описва само външна красота, а превръща любимата в образ на светлина, духовна привлекателност и пълнота. Стихотворението носи усещане за възторг, съзерцание и нежна драматичност. То е част от поетическия свят на Фотев, в който любовта, копнежът и самотата са дълбоко свързани."
3,03. Посвещение,Посвещение,Петя Дубарова,Любов,0.4657,11.2,-114.56,"""Посвещение"" е лирически разговор за любовта като смел, почти ритуален избор. Лирическата героиня подава ръка на любимия и го кани да излязат от страха, съня и самотата към светъл, споделен живот. Текстът съчетава морски, нощни и градски образи, типични за поетическия свят на Петя Дубарова. Любовта е представена не като абстрактно чувство, а като движение към близост, доверие и човешка цялост. В края звучи надежда, че мечтата може да стане реалност в дневния, истински свят."
4,04. Спасова могила,Спасова могила,Елин Пелин,Надежда и общност,0.4165,24.0,-66.75,"""Спасова могила"" представя живота на обикновените българи през призмата на страданието, вярата и надеждата. В центъра е човешката болка, породена от бедност, болест и безсилие пред съдбата. Героят търси спасение не толкова в чудото, колкото в утехата на общата вяра и човешката подкрепа. Творбата е типична за Елин Пелин със своята съпричастност към малкия човек и с вниманието към селския свят. В нея надеждата стои по-силно от отчаянието."
5,05. Молитва,Молитва,Атанас Далчев,Вяра и духовност,0.5975,103.37,-2.28,"""Молитва"" е кратко, съсредоточено лирическо стихотворение на Атанас Далчев, в което личното преживяване е подчинено на вътрешен размисъл. Лирическият говорител не се обръща към Бога с пищни думи, а търси тиха, човешка и искрена връзка с духовното. Творбата е характерна за Далчев с простия си език, ясния образ и философското звучене. В нея се усеща напрежението между земното страдание и копнежа за утеха, между съмнението и вярата. Стихотворението е подходящо за училищен анализ, защото показва как дълбоки идеи могат да бъдат изразени с малко, но точни думи."
6,06. Вяра,Вяра,Никола Вапцаров,Вяра и духовност,0.293,26.0,3.21,"""Вяра"" е едно от най-известните стихотворения на Никола Вапцаров и е свързано с неговия хуманистичен и борчески светоглед. В него лирическият говорител изразява убеждението, че дори в тежки и безнадеждни времена човекът не трябва да се отказва от надеждата. Творбата съчетава социална чувствителност и лична изповедност, което е характерно за Вапцаровата поезия. Основният й смисъл е, че вярата е вътрешна сила, която помага на човека да устои. Затова стихотворението се възприема като вдъхновяващ текст с ясно морално послание."
7,07. Ветрената мелница,Ветрената мелница,Елин Пелин,Надежда и общност,0.4815,47.77,-175.94,"""Ветрената мелница"" е едно от най-познатите хумористични произведения на Елин Пелин. В центъра му стои селският живот, видян през призмата на дребното човешко съперничество, хитростта и надеждата за лесна печалба. Заглавната мелница е важен символ на новото, желаното и трудно постигнатото. Разказът съчетава народен език, жив диалог и ироничен поглед към човешките слабости. Той остава близък до читателя, защото показва познати характери и ситуации."
8,08. Песента на колелетата,Песента на колелетата,Йордан Йовков,Труд и творчество,0.5899,28.43,139.61,"""Песента на колелетата"" е разказ на Йордан Йовков, в който централно място заема срещата между бедния, но трудолюбив майстор Сали Яшар и силата на творчеството. Героят изработва каруци и колела с изключително майсторство, а трудът му е представен като нещо повече от занаят - като дарба и призвание. Творбата внушава, че истинската стойност на човека не е в богатството, а в таланта, добротата и уважението към труда. Йовков съчетава реалистичен селски свят с поетична, почти легендарна атмосфера. Разказът показва, че красотата може да се открие и в най-обикновените неща, когато са създадени с любов и умение."
9,09. Балада за Георг Хених,Балада за Георг Хених,Виктор Пасков,Труд и творчество,0.3629,-25.8,27.15,"""Балада за Георг Хених"" е едно от най-значимите произведения на Виктор Пасков, в което разказвачът си спомня за своя учител и майстор цигулар Георг Хених. Творбата съчетава спомен, изповед и философски размисъл за смисъла на труда, изкуството и човешката доброта. В центъра стои противопоставянето между духовното и материалното, между красотата на сътвореното и грубостта на всекидневието. Георг Хених е изграден като образ на творец, който живее бедно, но с вътрешно достойнство и вярност към идеала. Произведението е многопластово и остава силен текст за таланта, паметта и морала."
10,10. Две души,Две души,Пейо Яворов,Личност и вътрешен конфликт,0.8093,-160.14,57.2,"""Две души"" е лирическо стихотворение, в което Яворов показва вътрешното разкъсване на човека между две противоположни начала. В основата му стои конфликтът между добро и зло, светло и мрачно, ангелско и демонично. Лирическият говорител е самотен и страдащ, защото не успява да постигне вътрешна хармония. Творбата представя страданието не само като болка, а и като път към самопознание. Така стихотворението се превръща в изповед за трагизма на човешката душа."
